query,correct_answer
Who stars in Shanghai Calling and The Last Stand?,Daniel Henney
Are Armen Chakmakian and Reuben Nakian both sculptors?,no
Are Candice Night and Ben Gibbard both Americans ?,yes
Anthony Dirrell is the brother of which super-middleweight title holder?,Andre Dirrell
"What was geared toward children, Glamour or Disney Adventures?",Disney Adventures
Cameron Leslie operates the nightclub Fabric and then opened a 2nd nightclub under what name?,Matter
Alessandra Ferri was granted what most notable title for her profession?,Prima ballerina assoluta
Are Kangchenjunga and Trivor both mountains?,yes
Are Adenanthos and Honeysuckle both shrubs?,yes
"Katherine Anne Porter and Ödön von Horváth, are in the writing industry?",yes
What is the capital of Rhode Island,Providence
Is Dipteris or Deuterocohnia native to more regions?,Dipteris
Lazarus was a soundtrack of the musical with lyrics composed by whom?,David Bowie
SAVAK was dissolved during the outbreak of the overthrow of which dynasty?,Pahlavi
Are Raffaella Reggi and Marion Bartoli both former tennis players?,yes
Kathleen Hanna and Jane Relf are both what?,singer
"Selaginella and Desfontainia, are what kind of item?",plants
Are the Lehigh Canal and Walhonding Canal both in America?,yes
Who produced the anime Madoka Kaname is from?,Shaft and Aniplex
Are The Rookie and Ghostopolis both examples of storytelling in a visual medium?,yes
What is T. J. Lottie's husband's nickname?,Rip
The son of Johann Georg Mozart wrote what violin textbook?,Versuch einer gründlichen Violinschule
Do both the Kintamani and Alpine Mastiff still exist?,no
"Who is older, Pedro Duque or Vladimír Remek?",Vladimír Remek
"Bally Astrocade and NEC PC-100, are related to which entity?",home
Michele Campanella specialises in the music of which Hungarian composer?,Franz Liszt
"Pharaoh Hound and Bullmastiff, are a breed of what?",dog
"Which magazine, Ignite Your Faith or Disney Adventures, changed its name more times?",Ignite Your Faith
"Are the magazines, Me Naiset and Today's Housewife, catering to female readers?",yes
"Which executive producer of ""A to Z"" was in ""Parks and Recreation""?",Rashida Jones
In between Seaweed and Lovehammers who were active throughout the 1990s?,Seaweed
Were Walerian Borowczyk and Seth Grahame-Smith of Japanese descent?,no
"Charles Heidelberger, cancer researcher, developed the drug Fluorouracil (5-FU) which is sold under what name?",Adrucil
The Kingdom of Holland was the immediate successor of what previous Republic?,Batavian Republic
Both Dave Matthews and Paul McLoone are considered to be what?,musician
Are both Javier Frana and Pavel Složil from Czechoslovakia?,no
Are Kai Hansen and Peter Steele both vocalists?,yes
Are both Béla Tarr and Peter Szewczyk cinematographers?,no
"Which magazine, Vogue or Bild der Frau, began as a weekly newspaper?",Vogue
Are Under Armour and 3M both multinational corporations?,yes
