sample_index,query_id,query,short_answer,short_answers_json
0,414066,is it normal for my child to have green poop,No,"[""No""]"
3,1009157,which episode of andy griffith had barney on a motorcycle,1964,"[""1964""]"
6,275606,how many bowel movements do i suppose to have a day,Three,"[""Three""]"
8,401399,is accuweather app a paid app?,No,"[""No""]"
13,267230,how long should redundancy consultation last for employee,45 days,"[""45 days""]"
14,893928,what should my credit score be to apply for a fha loan,580,"[""580""]"
25,551774,what age should children get the pneumococcal vaccine?,5 years,"[""5 years""]"
27,594911,what character did burt reynolds play on gunsmoke,Quint Asper,"[""Quint Asper"", ""Burt Reynolds played Quint Asper on Gunsmoke.""]"
29,68948,can i find out who owns sheep,Yes,"[""Yes""]"
31,1044086,who makes larceny bourbon,Heaven Hill,"[""Heaven Hill"", ""Heaven Hill makes Larceny Bourbon.""]"
44,961985,when was the original legend of zelda game released,"February 21, 1986","[""February 21, 1986""]"
53,801997,what is taclonex used to treat,Plaque psoriasis,"[""Plaque psoriasis""]"
56,937844,when did cincinnati bengals become a team,1968,"[""1968""]"
57,144009,did hal holbrook ever have a mystery series,Yes,"[""Yes""]"
60,249812,how long does a mosquito bite last,24 hours,"[""24 hours""]"
67,941029,when did tadao ando first open,In 1969,"[""In 1969""]"
74,880809,what nationality is perez?,Spanish,"[""Spanish""]"
81,604765,"what county is crawford, texas",In McLennan county,"[""In McLennan county""]"
83,297922,how many teeth does adult have,32,"[""32""]"
85,1056457,who was the jack the ripper polish suspect,Aaron Kosminski,"[""Aaron Kosminski""]"
91,858076,what is tsn network stands for?,The Sports Network,"[""The Sports Network""]"
92,911710,what type of doctors study mental disorders,Psychiatrist,"[""Psychiatrist""]"
96,333695,how old do you have to be to ride a moped,16 years old,"[""16 years old""]"
104,231749,how far is monterey from salinas ca,18 miles or 29 kilometers,"[""18 miles or 29 kilometers""]"
105,610468,what county is north wales pa in,Montgomery County,"[""Montgomery County""]"
120,922367,what was the relief package of roosevelt's for the depression called,New Deal,"[""New Deal""]"
