query,correct_answer
Were Katrina Leskanich and Andrew Wood ever married?,no
"HMS ""Barham"" was a ""Queen Elizabeth""-class battleship built for the Royal Navy during the early 1910s, The ""Queen Elizabeth""-class battleships were a class of how many super-dreadnoughts of the Royal Navy commissioned in 1915–16?",five
Dave Jackson was renowned for his skill on which Maine waterway?,Allagash Wilderness Waterway
Who is the mother of Britney and Jamie Lynn Spears?,Lynne Spears
"Which is longer, Central Arizona Project or Augusta Canal?",Central Arizona Project
"Which magazine has a wider distribution, Discovery Girls or GO?",Discovery Girls
Which alcoholic bevarge requires fewer ingredients:  a Quick Fuck or a Vodka Martini?,A vodka Martini
Are The Watchtower and Autograph Collector Magazine now both only available on the web?,no
"Which is native to farther west, Vancouveria or Sauromatum?",Vancouveria
The Wu experiment was conducted by the physicist who was part of what field of study?,nuclear physics
"Which pizzeria has filed for bankruptcy, Upper Crust Pizzeria or LaRosa's Pizzeria?",Upper Crust Pizzeria
Poncha is a traditional alcoholic drink made with an ingredient which is derived from the word aguardiente?,aguardente de cana
Lachenalia and Viguiera are both what?,plants
Are both Pylon and Babes in Toyland from Georgia?,no
Which Mountain is closer to Afghanistan  Kabru or Gasherbrum IV ?,Gasherbrum IV
Prater includes what 64.75 m tall ferris wheel,Wiener Riesenrad
"Which skater is older, Maxim Viktorovich Marinin or Tatiana Ivanovna Totmianina?",Maxim Viktorovich Marinin
Are both Jim Sharman and Miguel Arteta Puerto Rican?,no
"Who has more flavors, Frijj or Sunkist?",Frijj
"Which has more locations, Rosati's or Cottage Inn Pizza",Rosati's
Are Niagara and Twister produced by the same company?,no
Destiny is what while Farsa is a genre of this?,opera
"In between XXL and Snowboard Magazine,which one was sold was sold to Storm Mountain Publishing?",Snowboard Magazine
"Which landmark, between Lake Baikal and Rara Lake, can be found further north in Asia?",Lake Baikal
In which continent are both Jasione and Geranium native?,Europe
Are Jeff Noon and John Banville both novelists?,yes
"Who was a Canadian producer, Melville Shavelson or Armand Schaefer?",Armand Schaefer
"Which Audi vehicle debuted first, the Audi Steppenwolf or the Audi TT?",Audi TT
What is the name of the train who's line goes through the small village of Miralago?,Bernina Express
"Which pizza chain opened first, Pagliacci Pizza or Eatza Pizza?",Pagliacci Pizza
"Telomian and Alaunt, are a breed of what?",dog
Were both Palestrina and A Midsummer Night's Dream composed by Hans Pfitzner?,no
"Who is older, Marion Bartoli or Philipp Petzschner?",Philipp Petzschner
Firebird is a retelling of the ballet by which Russian composer?,Igor Stravinsky
Gloria Material Technology Corp. includes what steel grade that has a cubic austenitic structure?,Superalloy
The Wright 3 is a novel about the characters trying to save a landmark that was designed by what architect?,Frank Lloyd Wright
In what anthology was Mushishi serialized that each issue typically has around thirty ongoing stories?,Monthly Afternoon
What stock exchange lists a competitor of Ladbrokes?,London Stock Exchange
What Lakota Tribe Reservation was Dolly Akers affiliated with?,Fort Peck Indian Reservation
