query,correct_answer,correct_answer_aliases
who sings good night on the beatles white album,Ringo Starr,"[""Ringo Starr""]"
where does the last name roberts come from,Norman,"[""Norman"", ""Norman origin""]"
the witch and the hundred knight 2 us release,"March 27, 2018","[""March 27, 2018"", ""March 2018""]"
what is the spelling of lakh in english,lakh,"[""lakh""]"
who won the gold for the men's figure skating,Yuzuru Hanyu,"[""Yuzuru Hanyu""]"
is coca cola a public or private company,Public,"[""Public""]"
who penned the famous indian epic the ramayana,Valmiki,"[""Valmiki"", ""the Hindu sage Valmiki""]"
who has access to the presidential daily briefing,National Security Advisor,"[""National Security Advisor"", ""Secretaries of State"", ""Defense"", ""the President""]"
who plays sheila carter on the bold and the beautiful,Kimberlin Brown,"[""Kimberlin Brown"", ""Michelle Stafford""]"
where was the summer olympics held in 2012,London,"[""London"", ""London, United Kingdom""]"
who explored waters of cuba the bahamas and hispaniola,Christopher Columbus,"[""Christopher Columbus""]"
when did linkin park release one more light,"May 19, 2017","[""May 19, 2017""]"
what is the minimum dollar amount for federal court,"$75,000","[""$75,000""]"
when did the great plague of london start and end,1665 to 1666,"[""1665 to 1666"", ""1666"", ""1665"", ""from 1665 to 1666""]"
who played the hobbits in the lord of the rings,Dominic Monaghan,"[""Dominic Monaghan"", ""Ian Holm"", ""Sean Astin"", ""Elijah Wood as Frodo Baggins"", ""Billy Boyd"", ""Elijah Wood""]"
who played daisy duke in the new dukes of hazzard,Jessica Simpson,"[""Jessica Simpson""]"
what year did seven nation army come out,2003,"[""2003"", ""March 2003""]"
when did cristiano ronaldo go to manchester united,2003,"[""2003"", ""at age 18 in 2003""]"
who plays alec ramsay in the black stallion,Kelly Reno,"[""Kelly Reno""]"
who wrote when a man loves a woman,Calvin Lewis and Andrew Wright,"[""Calvin Lewis and Andrew Wright"", ""Calvin Lewis"", ""Percy Sledge"", ""Andrew Wright""]"
who is the actor that plays dr. sean murphy,Freddie Highmore,"[""Freddie Highmore""]"
who plays scrooge mcduck in the new ducktales,David Tennant,"[""David Tennant""]"
who wrote ain't living long like this,Rodney Crowell,"[""Rodney Crowell""]"
when did world war 2 end in the pacific,14 and 15 August 1945,"[""14 and 15 August 1945"", ""September 2, 1945""]"
who sang original i want a hippopotamus for christmas,Gayla Peevey,"[""Gayla Peevey""]"
when was the movie the wizard of oz made,1939,"[""1939"", ""August 25, 1939""]"
what college does everyone in gossip girl go to,New York University,"[""New York University"", ""Columbia University""]"
who destroyed the first temple and exiled the two tribes of judah to babylon,Nebuchadnezzar,"[""Nebuchadnezzar""]"
who won the icc under 19 world cup 2018,West Indies,"[""West Indies"", ""India""]"
where is gall bladder situated in human body,beneath the liver,"[""beneath the liver""]"
where does the spinal cord become cauda equina,L1 or L2,"[""L1 or L2"", ""the conus medullaris""]"
who sang the song a white sports coat and a pink carnation,Marty Robbins,"[""Marty Robbins""]"
what are the two extracellular fluid compartments in the body,transcellular,"[""transcellular"", ""intravascular"", ""interstitial""]"
who has won the most f1 grand prix,Michael Schumacher,"[""Michael Schumacher""]"
what was tom hanks character name in castaway,Chuck Noland,"[""Chuck Noland""]"
where does the red river start and end in louisiana,the Texas Panhandle,"[""the Texas Panhandle""]"
who played john coffey in the movie the green mile,Michael Clarke Duncan,"[""Michael Clarke Duncan""]"
what breed of cat has spots and stripes,tabby,"[""tabby""]"
who was selected for the 2018 football hall of fame,Ray Lewis,"[""Ray Lewis"", ""Brian Urlacher"", ""Jerry Kramer"", ""Robert Brazile"", ""Bobby Beathard"", ""Brian Dawkins"", ""Randy Moss"", ""Terrell Owens""]"
where did the last name edwards come from,England,"[""England"", ""Scotland"", ""Wales""]"
who sings you are a magnet and i am steel,Walter Egan,"[""Walter Egan""]"
who become ceo of wipro company in 2016,Abid Ali Neemuchwala,"[""Abid Ali Neemuchwala""]"
when did korea separate into north and south,1945,"[""1945"", ""17 August 1945""]"
when was the first commercial cell phone released,1983,"[""1983"", ""1973""]"
where is south pole located on a map,on the continent of Antarctica,"[""on the continent of Antarctica""]"
where was the hindenburg scheduled to fly and how many passengers were on it,36 passengers,"[""36 passengers""]"
who wrote cant get you out of my head lyrics,Cathy Dennis and Rob Davis,"[""Cathy Dennis and Rob Davis"", ""Rob Davis"", ""Cathy Dennis""]"
when is season 2 of jessica jones being released,"March 8, 2018","[""March 8, 2018""]"
the lowest temperature at which a lubricant will flow is called the,pour point,"[""pour point""]"
the era of the great mughals began with the accession of,Akbar the Great,"[""Akbar the Great"", ""Babur""]"
state the process that divides one nucleus into two genetically identical nuclei,mitosis,"[""mitosis""]"
who present the central budget in lok sabha,the Finance Minister of India,"[""the Finance Minister of India""]"
when did sussex split into east and west,1832,"[""1832"", ""1889""]"
what dynasty completed the great wall of china,Qin,"[""Qin"", ""Ming dynasty"", ""Qing""]"
who invented the cornell method of note taking,Walter Pauk,"[""Walter Pauk""]"
character in macbeth who is murdered and appears as a ghost,Lord Banquo,"[""Lord Banquo"", ""Banquo""]"
who carried florida by 537 votes in 2000,George W. Bush,"[""George W. Bush"", ""Bush""]"
what language is the olympic anthem sang in,Greek,"[""Greek""]"
how many times has lake placid hosted the winter olympics,twice,"[""twice""]"
what parts make up the peripheral nervous system,autonomic nervous system,"[""autonomic nervous system"", ""somatic nervous system""]"
who appoints the chair of the federal reserve system,President of the United States,"[""President of the United States""]"
is jaffa cakes a biscuit or a cake,Cake,"[""Cake"", ""biscuit-sized cakes"", ""cakes""]"
what kind of sentence contains an independent clause and a dependent clause,A complex sentence,"[""A complex sentence"", ""complex sentence""]"
when was the first ford f 150 made,1975,"[""1975""]"
who was the killer in the movie i know what you did last summer,Ben Willis,"[""Ben Willis""]"
when was the first time lebron went to the finals,2007,"[""2007""]"
who's playing in the sec championship 2017,Auburn Tigers,"[""Auburn Tigers"", ""Georgia Bulldogs""]"
what is the meaning of the name habib,"""beloved""","[""\""beloved\"""", ""beloved""]"
who inaugurated 'world teachers' day',UNESCO,"[""UNESCO"", ""ILO""]"
what is the population of st petersburg fl,"260,999","[""260,999"", ""257,083""]"
who starred in the film walk the line,Ginnifer Goodwin,"[""Ginnifer Goodwin"", ""Reese Witherspoon"", ""Dallas Roberts"", ""Joaquin Phoenix"", ""Robert Patrick""]"
who monitor the recovery of the location during a disaster,management team,"[""management team""]"
when is the last time the philadelphia won the superbowl,"Super Bowl LII,","[""Super Bowl LII,"", ""2017""]"
is there a name for the at symbol,commercial at,"[""commercial at"", ""at symbol"", ""at sign""]"
who said beware of the ides of march,the soothsayer,"[""the soothsayer"", ""a seer"", ""a haruspex named Spurinna""]"
who sang the theme song for laverne and shirley,Cyndi Grecco,"[""Cyndi Grecco""]"
who wrote the song rainy days and mondays,Paul Williams,"[""Paul Williams"", ""Roger Nichols"", ""Roger Nichols and Paul Williams""]"
star cast of ab tumhare hawale watan sathiyon,Bobby Deol,"[""Bobby Deol"", ""Akshay Kumar"", ""Divya Khosla Kumar"", ""Nagma"", ""Amitabh Bachchan"", ""Sandali Sinha""]"
where do the maple leafs play hockey in toronto,Air Canada Centre,"[""Air Canada Centre"", ""the Air Canada Centre""]"
the most common form of megalithic architecture in europe is,the portal tomb,"[""the portal tomb"", ""portal tomb""]"
is greenland part of europe or north america,North America,"[""North America""]"
