query,correct_answer,correct_answer_aliases,response,is_correct
who sings good night on the beatles white album,Ringo Starr,"[""Ringo Starr""]","Ringo Starr sings ""Good Night"" on the Beatles' White Album.",True
where does the last name roberts come from,Norman,"[""Norman"", ""Norman origin""]","The last name Roberts comes from Norman origin and means ""servant of Robert"" or ""son of Robert"". It was introduced into Britain by the Normans and is common in England, Wales, Ireland, and the Isle of Man. It is also found in Scotland.",True
the witch and the hundred knight 2 us release,"March 27, 2018","[""March 27, 2018"", ""March 2018""]",The Witch and the Hundred Knight 2 was released in North America and Europe in March 2018.,True
what is the spelling of lakh in english,lakh,"[""lakh""]",Lakh.,True
who won the gold for the men's figure skating,Yuzuru Hanyu,"[""Yuzuru Hanyu""]",Yuzuru Hanyu won the gold medal for the men's figure skating event at the 2018 Winter Olympics.,True
is coca cola a public or private company,Public,"[""Public""]",Coca-Cola is a publicly traded company.,True
who penned the famous indian epic the ramayana,Valmiki,"[""Valmiki"", ""the Hindu sage Valmiki""]",Valmiki is credited with having penned the most famous version of the Ramayana.,True
who has access to the presidential daily briefing,National Security Advisor,"[""National Security Advisor"", ""Secretaries of State"", ""Defense"", ""the President""]","The president's daily brief (PDB) is a top-secret document produced and given each morning to the president of the United States, and is also distributed to a small number of top-level US officials who are approved by the president. The PDB includes highly classified intelligence analysis, information about CIA covert operations, and reports from the most sensitive US sources or those shared by allied intelligence agencies. The director of the Central Intelligence Agency (CIA) produces the PDB. The PDB is seen by the president and those approved by the president. Journalists, correspondents, and others who are part of the White House press corps have offices near the press briefing room, and the press secretary is responsible",True
who plays sheila carter on the bold and the beautiful,Kimberlin Brown,"[""Kimberlin Brown"", ""Michelle Stafford""]",Kimberlin Brown plays Sheila Carter on The Bold and the Beautiful.,True
where was the summer olympics held in 2012,London,"[""London"", ""London, United Kingdom""]","The 2012 Summer Olympics were held in London, United Kingdom.",True
who explored waters of cuba the bahamas and hispaniola,Christopher Columbus,"[""Christopher Columbus""]","Christopher Columbus explored the waters of Cuba, the Bahamas, and Hispaniola during his four voyages.",True
when did linkin park release one more light,"May 19, 2017","[""May 19, 2017""]","Linkin Park released their seventh studio album, ""One More Light,"" on May 19, 2017.",True
what is the minimum dollar amount for federal court,"$75,000","[""$75,000""]","The minimum dollar amount for federal court is $75,000.",True
when did the great plague of london start and end,1665 to 1666,"[""1665 to 1666"", ""1666"", ""1665"", ""from 1665 to 1666""]",The Great Plague of London started in 1665 and ended in 1666.,True
who played the hobbits in the lord of the rings,Dominic Monaghan,"[""Dominic Monaghan"", ""Ian Holm"", ""Sean Astin"", ""Elijah Wood as Frodo Baggins"", ""Billy Boyd"", ""Elijah Wood""]","Elijah Wood and Sean Bean played Frodo Baggins and Bilbo Baggins, respectively, in the Lord of the Rings trilogy.",True
who played daisy duke in the new dukes of hazzard,Jessica Simpson,"[""Jessica Simpson""]","Jessica Simpson played Daisy Duke in the 2005 feature film ""The Dukes of Hazzard.""",True
when did the term sustainability start to be used,1987,"[""1987""]","The term sustainability started to be used in the 1980s in the sense of human sustainability on planet earth, as a part of the concept sustainable development, as defined by the Brundtland Commission of the United Nations on March 20, 1987.",True
what year did seven nation army come out,2003,"[""2003"", ""March 2003""]",Seven Nation Army was released in 2003.,True
when did cristiano ronaldo go to manchester united,2003,"[""2003"", ""at age 18 in 2003""]",Cristiano Ronaldo joined Manchester United in 2003.,True
who plays alec ramsay in the black stallion,Kelly Reno,"[""Kelly Reno""]",Kelly Reno plays Alec Ramsey in the Black Stallion.,True
who wrote when a man loves a woman,Calvin Lewis and Andrew Wright,"[""Calvin Lewis and Andrew Wright"", ""Calvin Lewis"", ""Percy Sledge"", ""Andrew Wright""]","The song ""When a Man Loves a Woman"" was written by Calvin Lewis and Andrew Wright.",True
who is the actor that plays dr. sean murphy,Freddie Highmore,"[""Freddie Highmore""]","Freddie Highmore plays the role of Dr. Shaun Murphy in the TV show ""The Good Doctor"".",True
who plays scrooge mcduck in the new ducktales,David Tennant,"[""David Tennant""]",David Tennant plays Scrooge McDuck in the new Ducktales.,True
