query,correct_answer,correct_answer_aliases
when did the song things that make you go hmmm come out,June 1991,"[""June 1991"", ""June 23, 1991""]"
who wrote the treasure of the sierra madre,B. Traven,"[""B. Traven"", ""bilingual German author B. Traven""]"
who was elected president in mexico in 2000,Vicente Fox,"[""Vicente Fox""]"
when did toyota start making cars in the us,by the early 1980s,"[""by the early 1980s"", ""1984""]"
when did the battle of bull run start,"July 21, 1861","[""July 21, 1861"", ""July 21, 1861"", ""5:15 a.m.""]"
when was harry potter and the philosophers stone published,in 1997,"[""in 1997"", ""1997""]"
how old was sasuke when his clan died,seven,"[""seven""]"
who were the members of the traveling wilburys group,Roy Orbison,"[""Roy Orbison"", ""Jeff Lynne"", ""George Harrison"", ""Bob Dylan"", ""Tom Petty""]"
doric ionic and corinthian orders all refer to types of,architecture,"[""architecture""]"
what is a coherent set of values and beliefs about public policy called,a political ideology,"[""a political ideology"", ""political ideology"", ""ideology""]"
when was 13 reasons why released on netflix,"March 31, 2017","[""March 31, 2017""]"
when is the met office leaving the bbc,31 March 2018,"[""31 March 2018""]"
vikram samvat calender is official in which country,Nepal,"[""Nepal""]"
all the gases in the earth's atmosphere,Water vapor,"[""Water vapor"", ""small amounts of other gases"", ""nitrogen"", ""oxygen"", ""Methane"", ""Helium"", ""Oxygen"", ""Carbon dioxide"", ""Nitrogen"", ""Neon"", ""Argon"", ""argon"", ""carbon dioxide""]"
where does the last name hidalgo come from,Spanish,"[""Spanish""]"
when's the last time army won the army navy game,2017,"[""2017"", ""Army""]"
which type of hematoma is a result of torn bridging meningeal veins,A subdural hematoma,"[""A subdural hematoma"", ""subdural hematoma (SDH)"", ""subdural hematoma""]"
who did cora marry in once upon a time,Henry,"[""Henry""]"
where do rory and paris go to college,Yale University,"[""Yale University"", ""Yale University,""]"
who was in dont worry be happy video,Bill Irwin,"[""Bill Irwin"", ""Robin Williams"", ""McFerrin""]"
where do the florida marlins have spring training,Roger Dean Stadium,"[""Roger Dean Stadium""]"
who starred in the pirates of the caribbean,Johnny Depp,"[""Johnny Depp"", ""Orlando Bloom"", ""Geoffrey Rush"", ""Kevin McNally"", ""Jonathan Pryce"", ""Jack Davenport"", ""Keira Knightley""]"
book series about the end of the world,Left Behind,"[""Left Behind""]"
what written material is included in the talmud,the Mishnah,"[""the Mishnah"", ""the Gemara""]"
list of local government area in benue state,Guma,"[""Guma"", ""Ogbadibo"", ""Gwer East"", ""Gboko"", ""Gwer West"", ""Apa"", ""Ukum"", ""Okpokwu"", ""Ohimini"", ""Agatu"", ""Kwande"", ""Makurdi"", ""Vandeikya"", ""Otukpo"", ""Obi"", ""Oju"", ""Ado"", ""Konshisha"", ""Logo"", ""Tarka"", ""Ushongo"", ""Katsina-Ala"", ""Buruku""]"
when did the cubs won a world series,1908,"[""1908"", ""1907"", ""2016""]"
who has more super bowl wins nfc or afc,NFC,"[""NFC"", ""NFC/NFL""]"
hazels boyfriend in the fault in our stars,Augustus Waters,"[""Augustus Waters""]"
authorities involved in formulating accounting standard in india,government department,"[""government department"", ""FICCI"", ""other professional bodies"", ""ASSOCHAM"", ""CII"", ""Accounting Standards Board"", ""ICAI"", ""academicians""]"
who are the cast members of ncis new orleans,Zoe McLellan,"[""Zoe McLellan"", ""Lucas Black"", ""Daryl \""Chill\"" Mitchell"", ""Shalita Grant"", ""Rob Kerkovich"", ""Vanessa Ferlito"", ""Daryl Mitchell"", ""Scott Bakula"", ""CCH Pounder""]"
who is the current director of the us mint,David J. Ryder,"[""David J. Ryder"", ""David Motl""]"
when did gaurdians of the galaxy 2 come out,2017,"[""2017"", ""May 5, 2017""]"
who were the original voices of the flintstones,Verna Felton,"[""Verna Felton"", ""Bea Benaderet"", ""Don Messick"", ""Harvey Korman"", ""Alan Reed"", ""Mel Blanc"", ""Jean Vander Pyl"", ""John Stephenson""]"
a good that can be used in place of another good,A substitute good,"[""A substitute good"", ""substitute good""]"
what is the full scientific name for the e. coli bacteria,Escherichia coli,"[""Escherichia coli""]"
who wrote the french declaration of the rights of man and of the citizen,General Lafayette,"[""General Lafayette"", ""Honoré Mirabeau"", ""Lafayette"", ""Thomas Jefferson""]"
what is the name of a camel with 2 humps,Bactrian,"[""Bactrian"", ""the Bactrian""]"
who built the first temple for god in jerusalem,Solomon,"[""Solomon""]"
who is the longest serving manager in manchester united history,Sir Alex Ferguson,"[""Sir Alex Ferguson""]"
where does the us launch space shuttles from,Florida,"[""Florida""]"
how many world series wins does the dodgers have,6,"[""6"", ""six""]"
who won the womens 2017 ncaa basketball tournament,South Carolina,"[""South Carolina""]"
when did david akers kick the 63 yard field goal,"September 9, 2012","[""September 9, 2012""]"
type of disappearing lake found in limestone areas in the west of ireland,turlough,"[""turlough"", ""turlough, or turlach"", ""A turlough, or turlach""]"
who sings why does it hurt when i pee,Frank Zappa,"[""Frank Zappa"", ""Frank Zappa's""]"
who is the new york state senate majority leader,John J. Flanagan,"[""John J. Flanagan""]"
when was the first hunger games book published,"September 14, 2008","[""September 14, 2008"", ""2008""]"
when did the ottoman empire surrender in ww1,1918,"[""1918"", ""30 October 1918""]"
who won the 2018 women's royal rumble match,Asuka,"[""Asuka""]"
what is the first book of percy jackson,The Lightning Thief,"[""The Lightning Thief""]"
where is fulda and what is its significance,"Hesse, Germany","[""Hesse, Germany"", ""on the river Fulda""]"
an influential religion to enter china along the silk route during the han dynasty was,Buddhism,"[""Buddhism""]"
the chinese dragons are protectors of how many seas diggy,Four Seas,"[""Four Seas"", ""Four""]"
who got the most passing yards in the nfl,Peyton Manning,"[""Peyton Manning""]"
where does the ohio river and the mississippi river meet,"Cairo, Illinois","[""Cairo, Illinois""]"
what theater number was the aurora shooting in,9,"[""9"", ""Theater 9""]"
who defeated the last remaining roman army in europe,Goths,"[""Goths""]"
who has hosted the most fifa world cups,Italy,"[""Italy"", ""Germany"", ""France"", ""Brazil"", ""Mexico""]"
delhi is on the banks of which river,Yamuna,"[""Yamuna""]"
when did the nfl start playing in london,since 2007,"[""since 2007"", ""October 28, 2007"", ""2007""]"
when did the phantom of the opera open,October 1986:,"[""October 1986:"", ""1986"", ""9 October 1986""]"
which river separates the bronx in new york city from manhattan island,Harlem River,"[""Harlem River"", ""the Harlem River""]"
who founded amazon where is the headquarters of amazon,"Seattle, Washington","[""Seattle, Washington"", ""based in Seattle, Washington"", ""Jeff Bezos"", ""founded by Jeff Bezos"", ""Seattle, Washington, U.S.""]"
dendrites and cell bodies are components of what type of matter found in the brain,gray,"[""gray"", ""Grey matter""]"
which is the ring finger for male in india,the left ring finger,"[""the left ring finger"", ""left ring finger""]"
when was pac man released in the us,"October 26, 1980","[""October 26, 1980"", ""October 1980"", ""in October 1980""]"
branch of science that deals with the structure of human body parts,Anatomy,"[""Anatomy"", ""Human anatomy"", ""human anatomy""]"
who does the voice of mrs. wolowitz on the big bang theory,Carol Ann Susi,"[""Carol Ann Susi""]"
who hung the lanterns in the old north church,Robert Newman,"[""Robert Newman"", ""Captain John Pulling""]"
when does the 14th season of grey's anatomy come out,"September 28, 2017","[""September 28, 2017""]"
where does iron ore come from in australia,Western Australia,"[""Western Australia""]"
when does the next apollo book come out,"May 1, 2018","[""May 1, 2018""]"
when did the book thief movie come out,"November 27, 2013","[""November 27, 2013"", ""2013"", ""November 27, 2013""]"
how many seasons of rules of engagement is there,7,"[""7"", ""seven""]"
when did athens emerges as wealthiest greek city state,the late 6th century BCE,"[""the late 6th century BCE""]"
what is the name of the muslim dress,hijab,"[""hijab""]"
