query,correct_answer,correct_answer_aliases,response,is_correct
who played charles on when calls the heart,Steve Bacic,"[""Steve Bacic""]",I don't know.,False
where does the light reaction of photosynthesis occur,on the thylakoid membranes,"[""on the thylakoid membranes""]",The light reaction of photosynthesis occurs in the chloroplasts of plants.,False
who sings good night on the beatles white album,Ringo Starr,"[""Ringo Starr""]","Ringo Starr sings ""Good Night"" on the Beatles' White Album.",True
where does the last name roberts come from,Norman,"[""Norman"", ""Norman origin""]","The last name Roberts comes from Norman origin and means ""servant of Robert"" or ""son of Robert"". It was introduced into Britain by the Normans and is common in England, Wales, Ireland, and the Isle of Man. It is also found in Scotland.",True
the witch and the hundred knight 2 us release,"March 27, 2018","[""March 27, 2018"", ""March 2018""]",The Witch and the Hundred Knight 2 was released in North America and Europe in March 2018.,True
who is the longest serving chief minister in india as on jan 2015,Jyotirindra Basu,"[""Jyotirindra Basu""]","Raman Singh is the longest serving chief minister in India as of January 2015, having served as the Chief Minister of Chhattisgarh for 13 years and 282 days.",False
who played nicky on the drew carey show,Kate Walsh,"[""Kate Walsh""]",I don't know.,False
when was clash royale released in the us,"March 2, 2016","[""March 2, 2016""]",Clash Royale was released in the US in January 2016.,False
when is the last time the vikings were in the nfc championship,1976,"[""1976"", ""2017/18""]",The last time the Vikings were in the NFC Championship game was in 2009.,False
what happened to the actor who played frost on rizzoli and isles,committed suicide,"[""committed suicide"", ""Lee Thompson Young""]","David Jason, who played the role of Di Jack Frost on Rizzoli & Isles, retired from the role due to the character being the oldest detective on television and feeling that it was ""natural"" to retire as Frost. He announced his retirement in September 2008 and the character was written out of the show.",False
when was nepal declared a secular state in bs,"January 15, 2007","[""January 15, 2007""]","Nepal was declared a secular state in BS 2006, which corresponds to the Gregorian calendar year 2006.",False
how many games does a team have to win for the world series,best-of-seven,"[""best-of-seven""]",I don't know.,False
the recipient of first jnanpith award was an author which language,Malayalam,"[""Malayalam""]",The first recipient of the Jnanpith Award was the Bhojpuri writer Dharikshan Mishra.,False
what is the spelling of lakh in english,lakh,"[""lakh""]",Lakh.,True
who won the gold for the men's figure skating,Yuzuru Hanyu,"[""Yuzuru Hanyu""]",Yuzuru Hanyu won the gold medal for the men's figure skating event at the 2018 Winter Olympics.,True
what time is it in alaska time zone,UTC−09:00,"[""UTC−09:00""]",The time in the Alaska Time Zone is UTC-9.,False
when was the cat and mouse act introduced,1913,"[""1913""]",I don't know.,False
when did the wall go up in east germany,"), starting on","[""), starting on""]","The Berlin Wall went up in East Germany on August 13, 1961.",False
when did the eagles win the super bowl,2017,"[""2017""]",The Eagles won the Super Bowl in 2018.,False
love yourself by justin bieber is about who,Rihanna,"[""Rihanna""]",Love Yourself by Justin Bieber is about someone in his past that he doesn't want to put on blast.,False
when did they start 3 pointers in basketball,1961,"[""1961"", ""1945""]",The three-point line was first introduced in basketball in the 1979-1980 season.,False
who said the poison is in the dose,credited to Paracelsus,"[""credited to Paracelsus"", ""Paracelsus""]",Poirot said the poison is in the dose.,False
who is the drummer for guns and roses,Frank Ferrer,"[""Frank Ferrer""]","The drummer for Guns N' Roses is Ron ""Bumblefoot"" Thal.",False
who played taylor on the bold and beautiful,Hunter Tylo,"[""Hunter Tylo"", ""Sherilyn Wolter"", ""Sherilyn Wolter (1990)""]",Taylor played the character of Tim on The Bold and the Beautiful.,False
who sang the original song send in the clowns,Glynis Johns,"[""Glynis Johns"", ""the actress Glynis Johns""]","Frank Sinatra sang the original song ""Send in the Clowns.""",False
is coca cola a public or private company,Public,"[""Public""]",Coca-Cola is a publicly traded company.,True
who penned the famous indian epic the ramayana,Valmiki,"[""Valmiki"", ""the Hindu sage Valmiki""]",Valmiki is credited with having penned the most famous version of the Ramayana.,True
what part of the brain is in the middle cranial fossa,pituitary gland,"[""pituitary gland"", ""the temporal lobes"", ""the pituitary gland"", ""temporal lobes""]","The middle cranial fossa is a part of the cranial floor that is formed by the squamous portion of the temporal bone. It is located between the lateral and posterior cranial fossae and contains the middle fossa cistern, which is a small cistern that collects cerebrospinal fluid (CSF) that has been displaced from the lateral cisterns. The middle cranial fossa does not contain any significant parts of the brain.",False
a single period of precession of earth's axis is completed in about,"approximately 26,000 years","[""approximately 26,000 years"", ""26,000 years""]","25,772 years.",False
