query,correct_answer,correct_answer_aliases,response,is_correct
when did the song things that make you go hmmm come out,June 1991,"[""June 1991"", ""June 23, 1991""]","The song ""Things That Make You Go Hmmm..."" by C+C Music Factory was released in June 1991.",True
who wrote the treasure of the sierra madre,B. Traven,"[""B. Traven"", ""bilingual German author B. Traven""]","B. Traven wrote ""The Treasure of the Sierra Madre.""",True
who was elected president in mexico in 2000,Vicente Fox,"[""Vicente Fox""]",Vicente Fox was elected president of Mexico in 2000.,True
when did toyota start making cars in the us,by the early 1980s,"[""by the early 1980s"", ""1984""]","Toyota started making cars in the US in 1984 with its joint venture with General Motors, called NUMMI, which produced Toyota models and their versions branded as Geo, Chevrolet, and Pontiac until GM withdrew in August 2009 and Toyota shut the doors in March 2010.",True
when did the battle of bull run start,"July 21, 1861","[""July 21, 1861"", ""July 21, 1861"", ""5:15 a.m.""]","The first battle of Bull Run started on July 21, 1861.",True
when was harry potter and the philosophers stone published,in 1997,"[""in 1997"", ""1997""]","Harry Potter and the Philosopher's Stone was published on June 26, 1997 in the United Kingdom by Bloomsbury.",True
how old was sasuke when his clan died,seven,"[""seven""]","Sasuke was seven years old when his clan, the Uchiha, was wiped out by his older brother Itachi.",True
who were the members of the traveling wilburys group,Roy Orbison,"[""Roy Orbison"", ""Jeff Lynne"", ""George Harrison"", ""Bob Dylan"", ""Tom Petty""]","The members of the Traveling Wilburys were Roy Orbison, George Harrison, Jeff Lynne, Tom Petty, and Bob Dylan.",True
doric ionic and corinthian orders all refer to types of,architecture,"[""architecture""]",Architecture.,True
what is a coherent set of values and beliefs about public policy called,a political ideology,"[""a political ideology"", ""political ideology"", ""ideology""]",A coherent set of values and beliefs about public policy is called a policy ideology.,True
when was 13 reasons why released on netflix,"March 31, 2017","[""March 31, 2017""]","13 Reasons Why was released on Netflix on March 31, 2017.",True
when is the met office leaving the bbc,31 March 2018,"[""31 March 2018""]","The met office is leaving the BBC on 31 March 2018, as announced in 2015.",True
vikram samvat calender is official in which country,Nepal,"[""Nepal""]",Nepal.,True
all the gases in the earth's atmosphere,Water vapor,"[""Water vapor"", ""small amounts of other gases"", ""nitrogen"", ""oxygen"", ""Methane"", ""Helium"", ""Oxygen"", ""Carbon dioxide"", ""Nitrogen"", ""Neon"", ""Argon"", ""argon"", ""carbon dioxide""]","All the gases in the Earth's atmosphere are nitrogen (78%), oxygen (20.9%), argon (0.92%), and small amounts of other gases including carbon dioxide (0.04%) and water vapor (variable).",True
