query,correct_answer,correct_answer_aliases
who played charles on when calls the heart,Steve Bacic,"[""Steve Bacic""]"
where does the light reaction of photosynthesis occur,on the thylakoid membranes,"[""on the thylakoid membranes""]"
who sings good night on the beatles white album,Ringo Starr,"[""Ringo Starr""]"
where does the last name roberts come from,Norman,"[""Norman"", ""Norman origin""]"
the witch and the hundred knight 2 us release,"March 27, 2018","[""March 27, 2018"", ""March 2018""]"
who is the longest serving chief minister in india as on jan 2015,Jyotirindra Basu,"[""Jyotirindra Basu""]"
who played nicky on the drew carey show,Kate Walsh,"[""Kate Walsh""]"
when was clash royale released in the us,"March 2, 2016","[""March 2, 2016""]"
when is the last time the vikings were in the nfc championship,1976,"[""1976"", ""2017/18""]"
what happened to the actor who played frost on rizzoli and isles,committed suicide,"[""committed suicide"", ""Lee Thompson Young""]"
when was nepal declared a secular state in bs,"January 15, 2007","[""January 15, 2007""]"
how many games does a team have to win for the world series,best-of-seven,"[""best-of-seven""]"
the recipient of first jnanpith award was an author which language,Malayalam,"[""Malayalam""]"
what is the spelling of lakh in english,lakh,"[""lakh""]"
who won the gold for the men's figure skating,Yuzuru Hanyu,"[""Yuzuru Hanyu""]"
what time is it in alaska time zone,UTC−09:00,"[""UTC−09:00""]"
when was the cat and mouse act introduced,1913,"[""1913""]"
when did the wall go up in east germany,"), starting on","[""), starting on""]"
when did the eagles win the super bowl,2017,"[""2017""]"
love yourself by justin bieber is about who,Rihanna,"[""Rihanna""]"
when did they start 3 pointers in basketball,1961,"[""1961"", ""1945""]"
who said the poison is in the dose,credited to Paracelsus,"[""credited to Paracelsus"", ""Paracelsus""]"
who is the drummer for guns and roses,Frank Ferrer,"[""Frank Ferrer""]"
who played taylor on the bold and beautiful,Hunter Tylo,"[""Hunter Tylo"", ""Sherilyn Wolter"", ""Sherilyn Wolter (1990)""]"
who sang the original song send in the clowns,Glynis Johns,"[""Glynis Johns"", ""the actress Glynis Johns""]"
is coca cola a public or private company,Public,"[""Public""]"
who penned the famous indian epic the ramayana,Valmiki,"[""Valmiki"", ""the Hindu sage Valmiki""]"
what part of the brain is in the middle cranial fossa,pituitary gland,"[""pituitary gland"", ""the temporal lobes"", ""the pituitary gland"", ""temporal lobes""]"
a single period of precession of earth's axis is completed in about,"approximately 26,000 years","[""approximately 26,000 years"", ""26,000 years""]"
who has access to the presidential daily briefing,National Security Advisor,"[""National Security Advisor"", ""Secretaries of State"", ""Defense"", ""the President""]"
who plays sheila carter on the bold and the beautiful,Kimberlin Brown,"[""Kimberlin Brown"", ""Michelle Stafford""]"
where was the summer olympics held in 2012,London,"[""London"", ""London, United Kingdom""]"
who hit the first home run in the houston astrodome,Mickey Mantle,"[""Mickey Mantle""]"
who sings the theme song for degrassi the next generation,Jakalope,"[""Jakalope"", ""The Degrassi Junior Strings""]"
most passing yards by nfl qb in a game,Norm Van Brocklin,"[""Norm Van Brocklin"", ""554""]"
who explored waters of cuba the bahamas and hispaniola,Christopher Columbus,"[""Christopher Columbus""]"
where did this case of product tampering occur,the Chicago metropolitan area,"[""the Chicago metropolitan area""]"
when did linkin park release one more light,"May 19, 2017","[""May 19, 2017""]"
what is the setting of the story sorry wrong number,Manhattan,"[""Manhattan""]"
what is the minimum dollar amount for federal court,"$75,000","[""$75,000""]"
where is thank you for your service based,Kansas,"[""Kansas"", ""Fort Riley, Kansas""]"
what is the name of the first earthquake early warning system,1991,"[""1991"", ""The Mexican Seismic Alert System""]"
who captained the first european ship to sail around the tip of africa,Bartolomeu Dias,"[""Bartolomeu Dias""]"
what caused the breakup of the democratic republican party,the disputed 1824 presidential election,"[""the disputed 1824 presidential election""]"
who plays lefou in beauty and the beast 1991,Jesse Corti,"[""Jesse Corti"", ""Venezuelan voice actor Jesse Corti""]"
term limits for house of representatives and senate,Unlimited six-year terms,"[""Unlimited six-year terms"", ""Unlimited two-year terms""]"
who sang it going to take a miracle,The Royalettes,"[""The Royalettes""]"
what kind of metric system does the us use,international units,"[""international units"", ""United States customary units""]"
when was the last time the ducks won the stanley cup,(2006–07),"[""(2006–07)"", ""2006–07""]"
what do mobile numbers start with in the uk,0,"[""0""]"
when did the great plague of london start and end,1665 to 1666,"[""1665 to 1666"", ""1666"", ""1665"", ""from 1665 to 1666""]"
how many paintings of sunflowers did van gogh paint,two,"[""two""]"
who played the hobbits in the lord of the rings,Dominic Monaghan,"[""Dominic Monaghan"", ""Ian Holm"", ""Sean Astin"", ""Elijah Wood as Frodo Baggins"", ""Billy Boyd"", ""Elijah Wood""]"
who played daisy duke in the new dukes of hazzard,Jessica Simpson,"[""Jessica Simpson""]"
when did fender start making amps in mexico,1996,"[""1996""]"
when does the good doctor episode 8 air,"November 20, 2017","[""November 20, 2017""]"
who has the most sacks in college football,Mike Czerwien,"[""Mike Czerwien""]"
what was the name of darth vader star destroyer,Devastator,"[""Devastator"", ""the Devastator""]"
when did beds become popular in france and germany,the 12th century,"[""the 12th century""]"
when did the term sustainability start to be used,1987,"[""1987""]"
how many episodes of season 5 of curse of oak island,18,"[""18""]"
what year did seven nation army come out,2003,"[""2003"", ""March 2003""]"
when did they stop saying mass in latin,from 1967 onwards,"[""from 1967 onwards"", ""1967""]"
who sang the theme song to that 70s show,Big Star,"[""Big Star"", ""Todd Griffin"", ""Cheap Trick""]"
when did cristiano ronaldo go to manchester united,2003,"[""2003"", ""at age 18 in 2003""]"
what album is sacrifice by elton john on,Sleeping with the Past.,"[""Sleeping with the Past."", ""Sleeping with the Past""]"
where in the bible are the 12 disciples,Acts 1:13,"[""Acts 1:13""]"
who sings the wizards of waverly place theme song,Selena Gomez,"[""Selena Gomez""]"
when was the last time nebraska voted democrat,1964,"[""1964""]"
who has played in the most premier league derbies,Neville Southall,"[""Neville Southall""]"
who plays young voldemort in the half blood prince,Hero Beauregard Fiennes-Tiffin,"[""Hero Beauregard Fiennes-Tiffin""]"
who played mary in christmas with the kranks,Felicity Huffman,"[""Felicity Huffman""]"
what nba player has scored the most 3 pointers,Ray Allen,"[""Ray Allen""]"
where would a subcutaneous injection be made in the skin,the subcutis,"[""the subcutis""]"
when does the team find out prentiss is alive,In the season seven premiere,"[""In the season seven premiere"", ""the season seven premiere""]"
what are three different types of hotel properties,Bed and breakfast,"[""Bed and breakfast"", ""Hotel barge"", ""Botel""]"
who plays alec ramsay in the black stallion,Kelly Reno,"[""Kelly Reno""]"
who wrote when a man loves a woman,Calvin Lewis and Andrew Wright,"[""Calvin Lewis and Andrew Wright"", ""Calvin Lewis"", ""Percy Sledge"", ""Andrew Wright""]"
where was the film the remains of the day filmed,Powderham Castle,"[""Powderham Castle"", ""Weston-super-Mare"", ""Dyrham Park"", ""Badminton House"", ""Corsham Court"", ""Limpley Stoke""]"
who is the actor that plays dr. sean murphy,Freddie Highmore,"[""Freddie Highmore""]"
where does the highway of heroes start and end,Glen Miller Road in Trenton,"[""Glen Miller Road in Trenton""]"
