query,correct_answer,correct_answer_aliases,response,is_correct
Were Katrina Leskanich and Andrew Wood ever married?,no,"[""no""]",I don't know.,True
"HMS ""Barham"" was a ""Queen Elizabeth""-class battleship built for the Royal Navy during the early 1910s, The ""Queen Elizabeth""-class battleships were a class of how many super-dreadnoughts of the Royal Navy commissioned in 1915–16?",five,"[""five""]","The ""Queen Elizabeth""-class battleships were a class of five super-dreadnoughts of the Royal Navy commissioned in 1915–16.",True
Dave Jackson was renowned for his skill on which Maine waterway?,Allagash Wilderness Waterway,"[""Allagash Wilderness Waterway""]",Dave Jackson was renowned for his skill on the Allagash Wilderness Waterway.,True
Who is the mother of Britney and Jamie Lynn Spears?,Lynne Spears,"[""Lynne Spears""]",Lynne Spears is the mother of Britney Spears and Jamie Lynn Spears.,True
"Which is longer, Central Arizona Project or Augusta Canal?",Central Arizona Project,"[""Central Arizona Project""]",Central Arizona Project is longer than Augusta Canal.,True
"Which magazine has a wider distribution, Discovery Girls or GO?",Discovery Girls,"[""Discovery Girls""]",Discovery Girls has a wider distribution than GO.,True
Which alcoholic bevarge requires fewer ingredients:  a Quick Fuck or a Vodka Martini?,A vodka Martini,"[""A vodka Martini""]",A Vodka Martini requires fewer ingredients than a Quick Fuck.,True
Are The Watchtower and Autograph Collector Magazine now both only available on the web?,no,"[""no""]","Yes, both The Watchtower and Autograph Collector Magazine are now only available on the web. The Watchtower Bible and Tract Society produces a significant amount of printed and electronic literature, primarily for use by Jehovah's Witnesses, and their best known publications are the magazines, ""The Watchtower"" and ""Awake!"". Autograph clubs were developed for both the collectors and dealer to obtain knowledge in the hobby of autograph collecting known as philography. The Autograph Collector Magazine is a web-only publication.",True
"Which is native to farther west, Vancouveria or Sauromatum?",Vancouveria,"[""Vancouveria""]",Vancouveria is native to farther west than Sauromatum.,True
The Wu experiment was conducted by the physicist who was part of what field of study?,nuclear physics,"[""nuclear physics""]",Chien-Shiung Wu was a physicist who conducted the Wu experiment in the field of nuclear physics.,True
"Which pizzeria has filed for bankruptcy, Upper Crust Pizzeria or LaRosa's Pizzeria?",Upper Crust Pizzeria,"[""Upper Crust Pizzeria""]",LaRosa's Pizzeria filed for bankruptcy.,False
Poncha is a traditional alcoholic drink made with an ingredient which is derived from the word aguardiente?,aguardente de cana,"[""aguardente de cana""]","Poncha is a traditional alcoholic drink made with aguardente de cana, which is a type of alcoholic beverage that contains between 29% and 60% alcohol by volume. It is a generic term for alcoholic beverages that contain between 29% and 60% alcohol by volume. The word is a compound of the Romance languages' words for ""water"" (""agua"" in Spanish; ""aigua"" in Catalan; ""água"" in Portuguese; ""auga"" in Galician) and ""fiery"" (""ardente"" in Spanish; ""ardent"" in Catalan; ""ardente"" in Portuguese and",True
Lachenalia and Viguiera are both what?,plants,"[""plants""]",Lachenalia and Viguiera are both genera of flowering plants in the family Asteraceae.,True
Are both Pylon and Babes in Toyland from Georgia?,no,"[""no""]","Yes, both Pylon and Babes in Toyland are from Georgia. Pylon is an American new wave band that was formed in Athens, Georgia in 1978. Babes in Toyland is an American punk rock band that was formed in Minneapolis, Minnesota in 1987, but the band members are all from Georgia.",False
